Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Chrome 74.0.3729.108,,2019-04-24 20:12:13,2019-04-24 20:12:20,6.795s,ERROR
,,,,,,
Test Cases/Authentication,Chrome 74.0.3729.108,,2019-04-24 20:12:14,2019-04-24 20:12:18,4.040s,ERROR
"openBrowser("""")",Chrome 74.0.3729.108,,2019-04-24 20:12:14,2019-04-24 20:12:16,1.545s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 74.0.3729.108,,2019-04-24 20:12:16,2019-04-24 20:12:17,0.600s,PASSED
"click(findTestObject(""Page_Holygram/a_Account (9)""))",Chrome 74.0.3729.108,,2019-04-24 20:12:17,2019-04-24 20:12:17,0.358s,PASSED
"click(findTestObject(""Page_Holygram/a_Log in (8)""))",Chrome 74.0.3729.108,,2019-04-24 20:12:17,2019-04-24 20:12:17,0.372s,PASSED
"setText(findTestObject(""Page_Please sign in/input_Username_username (1)""), ""exorcist"")",Chrome 74.0.3729.108,,2019-04-24 20:12:17,2019-04-24 20:12:18,0.248s,PASSED
"setEncryptedText(findTestObject(""Page_Please sign in/input_Password_password (1)""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Chrome 74.0.3729.108,,2019-04-24 20:12:18,2019-04-24 20:12:18,0.132s,PASSED
"sendKeys(findTestObject(""Page_Please sign in/input_Password_password (1)""), Keys.chord(ENTER))",Chrome 74.0.3729.108,,2019-04-24 20:12:18,2019-04-24 20:12:18,0.051s,ERROR
,,,,,,
Test Cases/CreateAccount,Chrome 74.0.3729.108,,2019-04-24 20:12:18,2019-04-24 20:12:20,2.265s,PASSED
"openBrowser("""")",Chrome 74.0.3729.108,,2019-04-24 20:12:18,2019-04-24 20:12:18,0.424s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 74.0.3729.108,,2019-04-24 20:12:18,2019-04-24 20:12:19,0.445s,PASSED
"click(findTestObject(""Page_Holygram/a_Account (10)""))",Chrome 74.0.3729.108,,2019-04-24 20:12:19,2019-04-24 20:12:19,0.084s,PASSED
"click(findTestObject(""Page_Holygram/a_Create (1)""))",Chrome 74.0.3729.108,,2019-04-24 20:12:19,2019-04-24 20:12:19,0.262s,PASSED
"setText(findTestObject(""Page_Holygram - Signin/input_Username_username (1)""), ""customer2"")",Chrome 74.0.3729.108,,2019-04-24 20:12:19,2019-04-24 20:12:19,0.236s,PASSED
"setText(findTestObject(""Page_Holygram - Signin/input_Email_email (1)""), ""customer@gmail.com"")",Chrome 74.0.3729.108,,2019-04-24 20:12:19,2019-04-24 20:12:20,0.152s,PASSED
"setEncryptedText(findTestObject(""Page_Holygram - Signin/input_Password_password (1)""), ""r9inNhf6FTla56shneBo8g=="")",Chrome 74.0.3729.108,,2019-04-24 20:12:20,2019-04-24 20:12:20,0.099s,PASSED
"setEncryptedText(findTestObject(""Page_Holygram - Signin/input_Password_passwordConfirm (1)""), ""r9inNhf6FTla56shneBo8g=="")",Chrome 74.0.3729.108,,2019-04-24 20:12:20,2019-04-24 20:12:20,0.104s,PASSED
"click(findTestObject(""Page_Holygram - Signin/button_Submit (1)""))",Chrome 74.0.3729.108,,2019-04-24 20:12:20,2019-04-24 20:12:20,0.129s,PASSED
closeBrowser(),Chrome 74.0.3729.108,,2019-04-24 20:12:20,2019-04-24 20:12:20,0.074s,PASSED
